score,links,nums,ranks,des,titles
9.6,https://movie.douban.com/subject/1292052/,845967人评价,1,希望让人自由。,肖申克的救赎
9.5,https://movie.douban.com/subject/1291546/,606045人评价,2,风华绝代。,霸王别姬
9.4,https://movie.douban.com/subject/1295644/,810881人评价,3,怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷
9.4,https://movie.douban.com/subject/1292720/,693282人评价,4,一部美国近现代史。,阿甘正传
9.5,https://movie.douban.com/subject/1292063/,403896人评价,5,最美的谎言。,美丽人生
9.2,https://movie.douban.com/subject/1291561/,644962人评价,6,最好的宫崎骏，最好的久石让。 ,千与千寻
9.4,https://movie.douban.com/subject/1295124/,373215人评价,7,拯救一个人，就是拯救整个世界。,辛德勒的名单
9.2,https://movie.douban.com/subject/1292722/,637695人评价,8,失去的才是永恒的。 ,泰坦尼克号
9.2,https://movie.douban.com/subject/3541415/,745311人评价,9,诺兰给了我们一场无法盗取的梦。,盗梦空间
9.3,https://movie.douban.com/subject/2131459/,489146人评价,10,小瓦力，大人生。,机器人总动员
9.2,https://movie.douban.com/subject/1292001/,588357人评价,11,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师
9.1,https://movie.douban.com/subject/3793023/,657532人评价,12,英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞
9.2,https://movie.douban.com/subject/3011091/,441950人评价,13,永远都不能忘记你所爱的人。,忠犬八公的故事
9.2,https://movie.douban.com/subject/1291549/,441598人评价,14,天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天
9.2,https://movie.douban.com/subject/1292213/,475819人评价,15,一生所爱。,大话西游之大圣娶亲
9.2,https://movie.douban.com/subject/1291841/,336189人评价,16,千万不要记恨你的对手，这样会让你失去理智。,教父
9.1,https://movie.douban.com/subject/1291560/,408797人评价,17,人人心中都有个龙猫，童年就永远不会消失。,龙猫
9.0,https://movie.douban.com/subject/1292064/,440796人评价,18,如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界
9.2,https://movie.douban.com/subject/1300267/,265836人评价,19,Tomorrow is another day.,乱世佳人
9.1,https://movie.douban.com/subject/1291828/,304088人评价,20,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,天堂电影院
9.1,https://movie.douban.com/subject/6786002/,358125人评价,21,满满温情的高雅喜剧。,触不可及
8.9,https://movie.douban.com/subject/1849031/,527441人评价,22,平民励志片。 ,当幸福来敲门
9.0,https://movie.douban.com/subject/1292000/,397882人评价,23,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,搏击俱乐部
9.2,https://movie.douban.com/subject/5912992/,241322人评价,24,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉
9.0,https://movie.douban.com/subject/1307914/,388022人评价,25,香港电影史上永不过时的杰作。,无间道
9.4,https://movie.douban.com/subject/1293182/,166874人评价,26,1957年的理想主义。 ,十二怒汉
8.9,https://movie.douban.com/subject/3319755/,529401人评价,27,真正的幸福是来自内心深处。,怦然心动
9.1,https://movie.douban.com/subject/1291552/,279298人评价,28,史诗的终章。,指环王3：王者无敌
9.0,https://movie.douban.com/subject/1291583/,324499人评价,29,对天空的追逐，永不停止。 ,天空之城
9.0,https://movie.douban.com/subject/1929463/,566851人评价,30,瑰丽壮观、无人能及的冒险之旅。,少年派的奇幻漂流
8.9,https://movie.douban.com/subject/1293839/,377717人评价,31,爱情哪怕只有一天。,罗马假日
9.1,https://movie.douban.com/subject/1889243/,468869人评价,32,爱是一种力量，让我们超越时空感知它的存在。,星际穿越
9.1,https://movie.douban.com/subject/1291858/,221253人评价,33,对敌人的仁慈，就是对自己残忍。,鬼子来了
9.0,https://movie.douban.com/subject/1851857/,308962人评价,34,无尽的黑暗。,蝙蝠侠：黑暗骑士
8.9,https://movie.douban.com/subject/1299398/,385535人评价,35,旷古烁今。,大话西游之月光宝盒
9.0,https://movie.douban.com/subject/1293350/,267980人评价,36,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,两杆大烟枪
9.1,https://movie.douban.com/subject/1292365/,257435人评价,37,张艺谋最好的电影。,活着
8.9,https://movie.douban.com/subject/2129039/,487083人评价,38,最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记
9.1,https://movie.douban.com/subject/1900841/,215776人评价,39,别样人生。,窃听风暴
9.0,https://movie.douban.com/subject/1292224/,271679人评价,40,自由万岁。,飞越疯人院
9.3,https://movie.douban.com/subject/3442220/,178335人评价,41,海豚的微笑，是世界上最高明的伪装。,海豚湾
8.9,https://movie.douban.com/subject/1298624/,313118人评价,42,史上最美的探戈。,闻香识女人
8.8,https://movie.douban.com/subject/1309046/,402207人评价,43,一张面具背后的理想与革命。,V字仇杀队
8.9,https://movie.douban.com/subject/1308807/,337103人评价,44,带着心爱的人在天空飞翔。,哈尔的移动城堡
9.1,https://movie.douban.com/subject/1299131/,181124人评价,45,优雅的孤独。,教父2
8.9,https://movie.douban.com/subject/1306029/,296783人评价,46,爱是一切逻辑和原由。,美丽心灵
8.9,https://movie.douban.com/subject/1291572/,263634人评价,47,承前启后的史诗篇章。,指环王2：双塔奇兵
8.9,https://movie.douban.com/subject/1291571/,294234人评价,48,传说的开始。,指环王1：魔戒再现
8.9,https://movie.douban.com/subject/1291548/,268080人评价,49,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社
8.8,https://movie.douban.com/subject/1292220/,362785人评价,50,暗恋的极致。,情书
8.7,https://movie.douban.com/subject/1292215/,469630人评价,51,法式小清新。 ,天使爱美丽
9.1,https://movie.douban.com/subject/1292262/,169083人评价,52,往事如烟，无处祭奠。,美国往事
9.6,https://movie.douban.com/subject/1296141/,79490人评价,53,比利·怀德满分作品。,控方证人
8.7,https://movie.douban.com/subject/1292223/,423566人评价,54,警察抓小偷，老鼠玩死猫。,七宗罪
9.0,https://movie.douban.com/subject/1296736/,197066人评价,55,音乐能化解仇恨。,钢琴家
8.9,https://movie.douban.com/subject/1301753/,272413人评价,56,动物版《哈姆雷特》。,狮子王
9.1,https://movie.douban.com/subject/21937445/,190228人评价,57,电影的现实意义大过电影本身。,辩护人
9.0,https://movie.douban.com/subject/1291818/,186127人评价,58,人生不能像做菜，把所有的料都准备好了才下锅。,饮食男女
8.9,https://movie.douban.com/subject/1787291/,269060人评价,59,以戏谑来戏谑戏谑。,被嫌弃的松子的一生
8.8,https://movie.douban.com/subject/1780330/,328711人评价,60,孪生蝙蝠侠大战克隆金刚狼。,致命魔术
8.8,https://movie.douban.com/subject/1294639/,288519人评价,61,史诗大片的典范。,勇敢的心
9.2,https://movie.douban.com/subject/1303021/,131245人评价,62,奔跑的孩子是天使。,小鞋子
8.7,https://movie.douban.com/subject/1292370/,469300人评价,63,浪漫忧郁的成人童话。,剪刀手爱德华
8.9,https://movie.douban.com/subject/1294408/,224744人评价,64,用音乐化解仇恨，让歌声串起美好。,音乐之声
8.7,https://movie.douban.com/subject/1291832/,321601人评价,65,故事的高级讲法。,低俗小说
8.8,https://movie.douban.com/subject/2149806/,310492人评价,66,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师
8.7,https://movie.douban.com/subject/1485260/,380005人评价,67,在时间之河里感受溺水之苦。,本杰明·巴顿奇事
8.7,https://movie.douban.com/subject/1293544/,340408人评价,68,安东尼·霍普金斯的顶级表演。,沉默的羔羊
8.8,https://movie.douban.com/subject/1291843/,269187人评价,69,视觉革命。,黑客帝国
8.7,https://movie.douban.com/subject/1292343/,367790人评价,70,人的命运被自己瞬间的抉择改变。,蝴蝶效应
8.8,https://movie.douban.com/subject/1292849/,226237人评价,71,美利坚精神输出大片No1.,拯救大兵瑞恩
9.1,https://movie.douban.com/subject/21937452/,165277人评价,72,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,素媛
8.7,https://movie.douban.com/subject/1292402/,331039人评价,73,美丽无罪。,西西里的美丽传说
8.9,https://movie.douban.com/subject/3072124/,226995人评价,74,你是我最好的朋友，你是我唯一的朋友 。,玛丽和马克思
8.7,https://movie.douban.com/subject/1292656/,259235人评价,75,人生中应该拥有这样的一段豁然开朗。,心灵捕手
8.8,https://movie.douban.com/subject/1297359/,225415人评价,76,人与自然的战争史诗。,幽灵公主
8.8,https://movie.douban.com/subject/1292679/,233212人评价,77,爱情纠缠，男女一致。,春光乍泄
9.2,https://movie.douban.com/subject/25662329/,468560人评价,78,,疯狂动物城
8.8,https://movie.douban.com/subject/1297630/,224837人评价,79,深入内心的恐怖，出人意料的结局。,第六感
8.7,https://movie.douban.com/subject/1291875/,259341人评价,80,一场华丽的意淫。,阳光灿烂的日子
8.7,https://movie.douban.com/subject/3742360/,599668人评价,81,你给我翻译翻译，神马叫做TMD的惊喜。,让子弹飞
9.2,https://movie.douban.com/subject/1418019/,92718人评价,82,经典之作，历久弥新。,大闹天宫
8.7,https://movie.douban.com/subject/1291545/,241955人评价,83,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,大鱼
8.6,https://movie.douban.com/subject/1291999/,313109人评价,84,寂寞没有期限。,重庆森林
8.7,https://movie.douban.com/subject/1316510/,263966人评价,85,百看不厌。 ,射雕英雄传之东成西就
8.9,https://movie.douban.com/subject/1292208/,152675人评价,86,被上帝抛弃了的上帝之城。,上帝之城
8.8,https://movie.douban.com/subject/4917726/,256778人评价,87,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘
8.7,https://movie.douban.com/subject/1305164/,223773人评价,88,相逢只要一瞬间，等待却像是一辈子。,甜蜜蜜
8.6,https://movie.douban.com/subject/2334904/,341739人评价,89,昔日翩翩少年，今日大腹便便。,禁闭岛
8.6,https://movie.douban.com/subject/1297192/,302924人评价,90,最不可能的那个人永远是最可能的。,致命ID
8.9,https://movie.douban.com/subject/1292434/,147818人评价,91,我们都曾经是一一。,一一
8.7,https://movie.douban.com/subject/4268598/,325363人评价,92,没有一人完全善，也没有一人完全恶。,告白
9.0,https://movie.douban.com/subject/6985810/,117505人评价,93,人言可畏。,狩猎
8.6,https://movie.douban.com/subject/1298070/,326336人评价,94,约翰尼·德普的独角戏。,加勒比海盗
8.7,https://movie.douban.com/subject/11525673/,290522人评价,95,小清新的故事里注入了大历史的情怀。,布达佩斯大饭店
8.7,https://movie.douban.com/subject/1296339/,208930人评价,96,缘分是个连绵词，最美不过一瞬。,爱在黎明破晓前
8.6,https://movie.douban.com/subject/1418834/,304130人评价,97,每个人心中都有一座断背山。,断背山
8.6,https://movie.douban.com/subject/1652587/,507214人评价,98,绝对意义上的美轮美奂。,阿凡达
8.8,https://movie.douban.com/subject/1293172/,152786人评价,99,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,末代皇帝
9.2,https://movie.douban.com/subject/1294371/,82427人评价,100,大时代中的人生，小人物的悲喜。,摩登时代
8.8,https://movie.douban.com/subject/1291585/,168098人评价,101,动画片的圣经。,风之谷
8.7,https://movie.douban.com/subject/1305487/,207941人评价,102,骗子大师和执著警探的你追我跑故事。 ,猫鼠游戏
8.7,https://movie.douban.com/subject/1291990/,189562人评价,103,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时
8.7,https://movie.douban.com/subject/1293318/,195017人评价,104,幸福是生生不息，却难以触及的远。 ,萤火虫之墓
8.8,https://movie.douban.com/subject/1297052/,159086人评价,105,少女情怀总是诗。,侧耳倾听
8.6,https://movie.douban.com/subject/1295038/,235621人评价,106,童话世界的开端。,哈利·波特与魔法石
8.7,https://movie.douban.com/subject/2353023/,271172人评价,107,和谐的生活离不开摸头与被摸头。,驯龙高手
8.8,https://movie.douban.com/subject/5322596/,163065人评价,108,穷尽一生，我们要学会的，不过是彼此拥抱。,超脱
8.8,https://movie.douban.com/subject/3008247/,131648人评价,109,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,穿条纹睡衣的男孩
9.0,https://movie.douban.com/subject/3443389/,96068人评价,110,大海啊，不全是水。,海洋
8.6,https://movie.douban.com/subject/1292274/,216386人评价,111,有时候幸福需要等一等。 ,幸福终点站
8.7,https://movie.douban.com/subject/21318488/,330790人评价,112,,消失的爱人
8.7,https://movie.douban.com/subject/1293359/,170200人评价,113,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,菊次郎的夏天
8.6,https://movie.douban.com/subject/1297447/,233318人评价,114,两张绝世的脸。 ,倩女幽魂
8.5,https://movie.douban.com/subject/3287562/,353361人评价,115,Mr. I Don't Care其实也有Care的时候。,神偷奶爸
9.2,https://movie.douban.com/subject/1295399/,72379人评价,116,时代悲歌。,七武士
8.6,https://movie.douban.com/subject/1417598/,189598人评价,117,真相就在眼前。,电锯惊魂
8.7,https://movie.douban.com/subject/1578507/,172179人评价,118,像吃了苏打饼一样干脆的电影。,谍影重重3
8.8,https://movie.douban.com/subject/1295865/,143937人评价,119,传奇，不是每个人都可以拥有。,燃情岁月
8.6,https://movie.douban.com/subject/3792799/,294101人评价,120,岁月流逝，来日可追。,岁月神偷
8.7,https://movie.douban.com/subject/21360417/,200760人评价,121,恐怖分子的“秋菊打官司”。,恐怖直播
8.7,https://movie.douban.com/subject/4202302/,205150人评价,122,曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂
8.5,https://movie.douban.com/subject/1292401/,295713人评价,123,爱，是个动词。,真爱至上
8.6,https://movie.douban.com/subject/1291870/,201222人评价,124,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,雨人
8.5,https://movie.douban.com/subject/2209573/,380847人评价,125,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁
8.9,https://movie.douban.com/subject/1296909/,102585人评价,126,永远看不腻的喜剧。,虎口脱险
8.6,https://movie.douban.com/subject/1292328/,237190人评价,127,电影诗。,东邪西毒
8.8,https://movie.douban.com/subject/1865703/,120717人评价,128,梦的勾结。,红辣椒
8.6,https://movie.douban.com/subject/1300299/,196186人评价,129,关于连环杀人悬案的集体回忆。,杀人回忆
8.5,https://movie.douban.com/subject/1304447/,263366人评价,130,一个针管引发的血案。,记忆碎片
8.7,https://movie.douban.com/subject/1907966/,353113人评价,131,老少皆宜，这就是好莱坞动画的魅力。,疯狂原始人
8.6,https://movie.douban.com/subject/1291579/,225385人评价,132,不要给它起名字，起了名字就有感情了。,怪兽电力公司
8.8,https://movie.douban.com/subject/1291822/,111987人评价,133,当这个世界闭上双眼，他却敞开了怀抱。,卢旺达饭店
8.5,https://movie.douban.com/subject/1978709/,396263人评价,134,黑暗之美。,黑天鹅
8.8,https://movie.douban.com/subject/1303037/,129185人评价,135,中国家庭的喜怒哀乐忍。,喜宴
8.6,https://movie.douban.com/subject/1937946/,176333人评价,136,爱上未来的你。 ,穿越时空的少女
8.5,https://movie.douban.com/subject/1292528/,237647人评价,137,不可猜的青春迷笛。 ,猜火车
8.8,https://movie.douban.com/subject/1293964/,123936人评价,138,中国式内在的美国电影。,魂断蓝桥
8.5,https://movie.douban.com/subject/1309163/,265264人评价,139,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,恋恋笔记本
8.9,https://movie.douban.com/subject/25814705/,115745人评价,140,,小森林 夏秋篇
8.5,https://movie.douban.com/subject/1302425/,287615人评价,141,我是一个演员。,喜剧之王
8.7,https://movie.douban.com/subject/1297574/,139556人评价,142,英雄泪短，兄弟情长。 ,英雄本色
8.9,https://movie.douban.com/subject/1293460/,88818人评价,143,骨灰级歌舞片。,雨中曲
8.4,https://movie.douban.com/subject/1418200/,283919人评价,144,爱是摈弃傲慢与偏见之后的曙光。,傲慢与偏见
8.7,https://movie.douban.com/subject/1294240/,121783人评价,145,任何信念的力量，都无法改变命运。,教父3
9.0,https://movie.douban.com/subject/1300992/,74293人评价,146,坏人的好总是比好人的好来得更感人。,完美的世界
8.7,https://movie.douban.com/subject/1295409/,133537人评价,147,香港浪漫主义警匪动作片的巅峰之作。,纵横四海
8.7,https://movie.douban.com/subject/1858711/,183545人评价,148,跨度十五年的欢乐与泪水。,玩具总动员3
8.7,https://movie.douban.com/subject/5989818/,144681人评价,149,触不到的恋人。,萤火之森
8.6,https://movie.douban.com/subject/1302827/,180043人评价,150,对爱的执着，可以超越一切。,人工智能
8.8,https://movie.douban.com/subject/1306861/,95719人评价,151,爱并不需要智商 。,我是山姆
8.7,https://movie.douban.com/subject/2297265/,123319人评价,152,世界离独裁只有五天。,浪潮
8.4,https://movie.douban.com/subject/1760622/,261072人评价,153,一个单凭体香达到高潮的男人。,香水
8.6,https://movie.douban.com/subject/3011235/,257285人评价,154,10年的完美句点。,哈利·波特与死亡圣器(下)
8.5,https://movie.douban.com/subject/1291557/,230098人评价,155,偷情本没有这样美。,花样年华
8.6,https://movie.douban.com/subject/10777687/,159709人评价,156,《我是山姆》的《美丽人生》。,7号房的礼物
8.4,https://movie.douban.com/subject/1291578/,255088人评价,157,松鼠才是角儿。,冰川时代
8.6,https://movie.douban.com/subject/1388216/,165959人评价,158,天使与魔鬼的冲撞。,撞车
8.5,https://movie.douban.com/subject/2213597/,266443人评价,159,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,朗读者
8.9,https://movie.douban.com/subject/1397546/,75100人评价,160,诺兰的牛逼来源于内心散发出的恐惧。,追随
8.7,https://movie.douban.com/subject/5964718/,124562人评价,161,只有有信仰的人才能说出事实真相。,一次别离
8.7,https://movie.douban.com/subject/1291879/,115191人评价,162,人生的N种可能性。,罗生门
8.7,https://movie.douban.com/subject/24750126/,118546人评价,163,,荒蛮故事
8.7,https://movie.douban.com/subject/1300960/,104175人评价,164,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,碧海蓝天
8.5,https://movie.douban.com/subject/1419936/,165142人评价,165,做一颗让别人需要你的棋子。,战争之王
8.7,https://movie.douban.com/subject/1292270/,105062人评价,166,一场没有春天的噩梦。,梦之安魂曲
8.6,https://movie.douban.com/subject/10577869/,181506人评价,167,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,时空恋旅人
8.6,https://movie.douban.com/subject/25917973/,143295人评价,168,,心迷宫
8.3,https://movie.douban.com/subject/1306249/,295895人评价,169,华太师是黄霑，吴镇宇四大才子之一。,唐伯虎点秋香
8.6,https://movie.douban.com/subject/1308857/,121226人评价,170,坚硬的信仰。,可可西里
8.6,https://movie.douban.com/subject/11026735/,341824人评价,171,,超能陆战队
8.3,https://movie.douban.com/subject/2043546/,274387人评价,172,青春就是放弃和怀念。,秒速5厘米
8.8,https://movie.douban.com/subject/2363506/,77864人评价,173,天使保护事件始末。,地球上的星星
8.9,https://movie.douban.com/subject/25814707/,99648人评价,174,,小森林 冬春篇
8.5,https://movie.douban.com/subject/3395373/,275980人评价,175,诺兰就是保证。,蝙蝠侠：黑暗骑士崛起
8.6,https://movie.douban.com/subject/3007773/,158893人评价,176,生命不止，摇滚不死。,海盗电台
8.5,https://movie.douban.com/subject/1308767/,149529人评价,177,谁说王家卫镜头很晃？,谍影重重2
8.5,https://movie.douban.com/subject/1304102/,180589人评价,178,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,谍影重重
8.5,https://movie.douban.com/subject/1305690/,166831人评价,179,王家卫是一种风格，张国荣是一个代表。,阿飞正传
8.3,https://movie.douban.com/subject/3011051/,294087人评价,180,不要企图在重复中寻找已经失去的爱。,恐怖游轮
8.6,https://movie.douban.com/subject/25773932/,218341人评价,181,,爆裂鼓手
8.8,https://movie.douban.com/subject/1395091/,85323人评价,182,好的剧本是，就算你猜到了结局也猜不到全部。,未麻的部屋
8.6,https://movie.douban.com/subject/1793929/,156133人评价,183,Jared Leto的腿比女人还美！,达拉斯买家俱乐部
8.8,https://movie.douban.com/subject/1293181/,76110人评价,184,故事的反转与反转，分裂电影的始祖。,惊魂记
9.1,https://movie.douban.com/subject/1292281/,49733人评价,185,最美的飞翔。,迁徙的鸟
8.4,https://movie.douban.com/subject/1307811/,179986人评价,186,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,魔女宅急便
8.7,https://movie.douban.com/subject/1300374/,99589人评价,187,天使暂时离开。,绿里奇迹
8.7,https://movie.douban.com/subject/1292329/,97185人评价,188,弱者送给弱者的一刀。,牯岭街少年杀人事件
8.6,https://movie.douban.com/subject/1905462/,119962人评价,189,出门必备：本草纲目。,荒野生存
8.5,https://movie.douban.com/subject/6874403/,152832人评价,190,爱我就给我看你的播放列表。,再次出发之纽约遇见你
8.5,https://movie.douban.com/subject/1292728/,134064人评价,191,类型片的极致。 ,勇闯夺命岛
9.2,https://movie.douban.com/subject/1291568/,46691人评价,192,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,东京物语
8.6,https://movie.douban.com/subject/1296753/,117062人评价,193,与同名歌曲无关。,卡萨布兰卡
8.7,https://movie.douban.com/subject/1291992/,97300人评价,194,没有了退路，只好飞向自由。,末路狂花
8.5,https://movie.douban.com/subject/6307447/,243877人评价,195,热血沸腾，那个低俗、性感的无耻混蛋又来了。,被解救的姜戈
8.6,https://movie.douban.com/subject/1307793/,103457人评价,196,现实与童话交相辉映的旅程。,燕尾蝶
8.5,https://movie.douban.com/subject/1291844/,132139人评价,197,少见的超越首部的续集，动作片中的经典。,终结者2：审判日
8.5,https://movie.douban.com/subject/2300586/,164599人评价,198,科幻真正的魅力不是视觉效果能取代的。 ,这个男人来自地球
8.4,https://movie.douban.com/subject/1292659/,201861人评价,199,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,变脸
8.4,https://movie.douban.com/subject/1291853/,165736人评价,200,"In memory, love lives forever...",英国病人
9.0,https://movie.douban.com/subject/1959195/,51647人评价,201,养狗三日，便会对你终其一生。,忠犬八公物语
8.4,https://movie.douban.com/subject/1303394/,203392人评价,202,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,青蛇
8.8,https://movie.douban.com/subject/1307315/,73459人评价,203,想你时你在闹海。,哪吒闹海
8.5,https://movie.douban.com/subject/1294638/,142810人评价,204,生病的E.T.皮肤的颜色就像柿子饼。,E.T. 外星人
8.6,https://movie.douban.com/subject/4798888/,102499人评价,205,乐观比一切都有力量。,叫我第一名
8.3,https://movie.douban.com/subject/3075287/,383861人评价,206,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,源代码
8.4,https://movie.douban.com/subject/1292233/,175088人评价,207,我完全康复了。,发条橙
8.4,https://movie.douban.com/subject/1292287/,169658人评价,208,嬉笑怒骂，调风动月。,新龙门客栈
9.1,https://movie.douban.com/subject/1401118/,47402人评价,209,最棒的西部片。,黄金三镖客
8.5,https://movie.douban.com/subject/1302467/,143962人评价,210,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,黑客帝国3：矩阵革命
8.4,https://movie.douban.com/subject/1292062/,172756人评价,211,每个人的内心都是深不可测的大海。 ,美国丽人
8.3,https://movie.douban.com/subject/1292217/,219056人评价,212,大卫·林奇的梦境迷宫。,穆赫兰道
9.2,https://movie.douban.com/subject/1293908/,39479人评价,213,永远的小人物，伟大的卓别林。,城市之光
8.6,https://movie.douban.com/subject/1292214/,108168人评价,214,我不信仰上帝，但我敬畏上帝。,非常嫌疑犯
8.4,https://movie.douban.com/subject/1438652/,209186人评价,215,昆汀同学越来越变态了，比北野武还杜琪峰。,无耻混蛋
8.6,https://movie.douban.com/subject/1297478/,90359人评价,216,纯净原始的笑与感动。,上帝也疯狂
8.2,https://movie.douban.com/subject/4739952/,427133人评价,217,黑小鸭速效美白记。,初恋这件小事
8.9,https://movie.douban.com/subject/3217169/,82032人评价,218,热血沸腾，相当完美的娱乐拳击大餐。,勇士
9.0,https://movie.douban.com/subject/1299361/,44378人评价,219,献给所有外婆的电影。,爱·回家
8.3,https://movie.douban.com/subject/1308575/,260020人评价,220,青春的窃窃私语。 ,蓝色大门
8.3,https://movie.douban.com/subject/2053515/,193120人评价,221,有些幸福无关爱情。,曾经
8.5,https://movie.douban.com/subject/10463953/,233269人评价,222,,模仿游戏
8.6,https://movie.douban.com/subject/6534248/,173444人评价,223,迪士尼和皮克斯拿错剧本的产物。,无敌破坏王
8.7,https://movie.douban.com/subject/1305725/,81653人评价,224,捍卫人权只是信仰，一点不妨碍其行为的残忍。,大卫·戈尔的一生
8.5,https://movie.douban.com/subject/1302476/,120168人评价,225,麦兜是一只很哲学的猪。 ,麦兜故事
8.5,https://movie.douban.com/subject/1428175/,119781人评价,226,每个美丽事物背后都是滴血的现实。,血钻
8.4,https://movie.douban.com/subject/1308777/,135484人评价,227,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,暖暖内含光
8.3,https://movie.douban.com/subject/4023638/,315670人评价,228,皇上无话儿。,国王的演讲
8.6,https://movie.douban.com/subject/1292056/,91166人评价,229,我们长途跋涉寻找的东西，有可能一直就在身边。 ,蝴蝶
8.5,https://movie.douban.com/subject/1867345/,116418人评价,230,用剩余不多的时间，去燃烧整个生命。,遗愿清单
8.6,https://movie.douban.com/subject/3157605/,100219人评价,231,四百击的反面。,巴黎淘气帮
8.7,https://movie.douban.com/subject/10808442/,105151人评价,232,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,爱在午夜降临前
8.9,https://movie.douban.com/subject/1293764/,53266人评价,233,充满诗意与情怀的史诗作品。 ,与狼共舞
8.6,https://movie.douban.com/subject/1300741/,91018人评价,234,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,枪火
8.2,https://movie.douban.com/subject/1862151/,286563人评价,235,中国版《两杆大烟枪》。,疯狂的石头
8.4,https://movie.douban.com/subject/1298653/,122796人评价,236,一个人的独角戏。,荒岛余生
8.7,https://movie.douban.com/subject/1300117/,76785人评价,237,一部能引人思考的科幻励志片。,千钧一发
8.5,https://movie.douban.com/subject/1301171/,109063人评价,238,典型盖·里奇式的英国黑色幽默黑帮片。,偷拐抢骗
8.3,https://movie.douban.com/subject/1299327/,186555人评价,239,弥漫淡淡血腥气的优雅。,夜访吸血鬼
8.5,https://movie.douban.com/subject/3073124/,133094人评价,240,2009媲美《第九区》的又一部科幻神作。,月球
8.8,https://movie.douban.com/subject/6146955/,75758人评价,241,仪式主义的狂欢，偏执狂的完胜。,寿司之神
9.0,https://movie.douban.com/subject/5908478/,50972人评价,242,你要相信，这世上真的有爱存在，不管在什么年纪 ,我爱你
8.7,https://movie.douban.com/subject/1292218/,72414人评价,243,心灵救赎。,中央车站
8.3,https://movie.douban.com/subject/2365260/,209752人评价,244,把爱放在心底，有爱就有希望。,爱在暹罗
8.5,https://movie.douban.com/subject/1293929/,91153人评价,245,这样确切的爱，一生只有一次。,廊桥遗梦
8.4,https://movie.douban.com/subject/1309027/,133052人评价,246,权力不是来自枪和子弹，权力来自谎言。,罪恶之城
8.4,https://movie.douban.com/subject/25807345/,151933人评价,247,小成本大魅力。,彗星来的那一夜
8.5,https://movie.douban.com/subject/1291824/,102077人评价,248,还原真实而残酷的战争。,黑鹰坠落
8.1,https://movie.douban.com/subject/1308817/,303853人评价,249,"Love me, if you dare. ",两小无猜
8.7,https://movie.douban.com/subject/10533913/,200546人评价,250,,头脑特工队
