niming,type,ip,live_time,link_time,ver_time,address,speed,port
高匿,HTTP,182.90.120.126,3小时,0.709秒,17-07-22 18:26,广西梧州,3.548秒,8123
高匿,HTTP,60.169.78.218,992天,0.3秒,17-07-22 18:22,安徽芜湖,2.68秒,808
高匿,HTTPS,122.4.150.117,1分钟,0.043秒,17-07-22 18:22,山东济宁,0.216秒,808
高匿,HTTPS,113.58.235.30,39天,0.84秒,17-07-22 18:22,海南海口,4.202秒,808
高匿,HTTPS,115.225.201.141,1天,0.086秒,17-07-22 18:20,浙江绍兴,0.434秒,8118
高匿,HTTP,115.46.89.89,4小时,0.059秒,17-07-22 18:17,广西南宁,0.299秒,8123
高匿,HTTP,110.73.6.207,554天,1.088秒,17-07-22 18:17,广西防城港,5.443秒,8123
高匿,HTTP,183.153.28.81,1分钟,0.824秒,17-07-22 18:15,浙江台州,4.124秒,808
高匿,HTTP,113.123.18.113,23小时,1.45秒,17-07-22 18:15,山东青岛,7.251秒,808
高匿,HTTPS,60.178.71.131,16分钟,0.053秒,17-07-22 18:11,浙江宁波,0.269秒,8118
高匿,HTTPS,117.95.66.15,1分钟,0.048秒,17-07-22 18:11,江苏淮安,0.244秒,808
高匿,HTTPS,117.95.66.150,1分钟,0.055秒,17-07-22 18:11,江苏淮安,0.276秒,808
高匿,HTTPS,121.62.188.2,1分钟,1.065秒,17-07-22 18:11,湖北黄冈,5.329秒,808
高匿,HTTPS,125.92.34.45,1分钟,0.189秒,17-07-22 18:11,广东江门,0.948秒,808
高匿,HTTPS,121.61.19.100,5小时,0.135秒,17-07-22 18:10,湖北咸宁,0.679秒,8118
高匿,HTTPS,112.114.98.195,4天,0.066秒,17-07-22 18:06,云南临沧,0.334秒,8118
高匿,HTTPS,221.229.18.163,1小时,0.212秒,17-07-22 18:06,江苏扬州,1.063秒,808
高匿,HTTP,111.155.116.219,330天,0.08秒,17-07-22 18:04,北京,0.403秒,8123
高匿,HTTPS,123.169.36.233,52分钟,0.044秒,17-07-22 18:03,山东烟台,0.221秒,808
高匿,HTTP,110.73.11.145,591天,0.083秒,17-07-22 18:03,广西防城港,0.416秒,8123
高匿,HTTP,115.46.75.207,452天,0.692秒,17-07-22 18:03,广西南宁,3.463秒,8123
高匿,HTTP,175.155.232.220,1分钟,0.806秒,17-07-22 18:01,四川德阳,4.032秒,808
高匿,HTTPS,113.58.234.166,94天,0.076秒,17-07-22 18:00,海南海口,0.383秒,808
高匿,HTTP,175.155.235.187,1分钟,1.029秒,17-07-22 18:00,四川德阳,5.145秒,808
高匿,HTTPS,114.239.252.53,17天,0.256秒,17-07-22 18:00,江苏宿迁市泗阳县,1.282秒,808
高匿,HTTPS,182.90.111.40,4小时,0.43秒,17-07-22 18:00,广西梧州,2.152秒,8123
高匿,HTTP,113.123.127.242,53天,1.209秒,17-07-22 17:55,山东滨州,6.046秒,808
高匿,HTTPS,119.48.172.76,11小时,0.04秒,17-07-22 17:46,吉林长春,0.201秒,8118
高匿,HTTP,113.121.254.37,124天,0.975秒,17-07-22 17:45,山东德州,4.875秒,808
高匿,HTTPS,121.31.150.205,84天,0.89秒,17-07-22 17:45,广西北海,4.453秒,8123
高匿,HTTP,111.155.124.89,147天,0.089秒,17-07-22 17:45,北京,0.446秒,8123
高匿,HTTP,111.155.116.240,356天,1.109秒,17-07-22 17:45,北京,5.548秒,8123
高匿,HTTP,113.70.146.62,1分钟,0.907秒,17-07-22 17:45,广东佛山,4.539秒,808
高匿,HTTP,218.18.232.29,51天,0.061秒,17-07-22 17:45,广东深圳,0.305秒,8080
高匿,HTTP,110.73.0.98,447天,0.759秒,17-07-22 17:43,广西防城港,3.797秒,8123
高匿,HTTPS,183.153.51.212,1分钟,0.393秒,17-07-22 17:33,浙江台州,1.968秒,808
高匿,HTTPS,112.195.122.101,1分钟,0.176秒,17-07-22 17:33,四川达州,0.882秒,808
高匿,HTTPS,116.28.111.115,1分钟,1.281秒,17-07-22 17:33,广东中山,6.407秒,808
高匿,HTTPS,183.153.51.119,1分钟,0.498秒,17-07-22 17:33,浙江台州,2.493秒,808
高匿,HTTPS,113.123.19.74,27天,0.034秒,17-07-22 17:33,山东青岛,0.171秒,808
高匿,HTTPS,121.31.177.243,2小时,0.245秒,17-07-22 17:30,广西北海,1.228秒,8123
高匿,HTTPS,113.123.18.144,26天,0.453秒,17-07-22 17:30,山东青岛,2.268秒,808
高匿,HTTP,110.72.33.218,582天,0.971秒,17-07-22 17:23,广西贵港,4.859秒,8123
高匿,HTTPS,123.161.152.146,1分钟,1.242秒,17-07-22 17:22,河南许昌,6.214秒,808
高匿,HTTPS,123.161.239.75,1分钟,0.918秒,17-07-22 17:22,河南平顶山,4.59秒,808
高匿,HTTP,115.46.156.175,1天,0.945秒,17-07-22 17:19,广西钦州,4.729秒,8123
高匿,HTTP,110.73.55.86,431天,0.217秒,17-07-22 17:12,广西南宁,1.085秒,8123
高匿,HTTPS,123.55.93.224,1分钟,0.191秒,17-07-22 17:11,河南新乡,0.956秒,808
高匿,HTTPS,171.211.32.13,51天,0.096秒,17-07-22 17:11,四川德阳,0.481秒,808
高匿,HTTPS,113.122.148.208,1分钟,0.05秒,17-07-22 17:11,山东日照,0.25秒,808
高匿,HTTP,119.5.217.122,114天,0.546秒,17-07-22 17:11,四川眉山,2.732秒,808
高匿,HTTPS,183.151.43.19,1分钟,0.272秒,17-07-22 17:00,浙江丽水,1.361秒,808
高匿,HTTPS,39.84.141.74,1分钟,0.263秒,17-07-22 16:55,山东,1.318秒,808
高匿,HTTPS,113.121.242.207,2小时,0.071秒,17-07-22 16:47,山东德州,0.355秒,808
高匿,HTTP,111.155.116.200,340天,0.218秒,17-07-22 16:44,北京,1.094秒,8123
高匿,HTTPS,112.234.179.210,7分钟,0.85秒,17-07-22 16:40,山东临沂,4.25秒,808
高匿,HTTP,116.28.104.166,1小时,1.032秒,17-07-22 16:33,广东中山,5.163秒,44459
高匿,HTTPS,113.122.148.22,1分钟,0.055秒,17-07-22 16:33,山东日照,0.278秒,808
高匿,HTTPS,121.228.232.207,1分钟,0.644秒,17-07-22 16:33,江苏苏州,3.22秒,808
高匿,HTTPS,180.110.4.187,68天,0.289秒,17-07-22 16:30,江苏南京,1.446秒,808
高匿,HTTP,114.239.150.135,1分钟,0.904秒,17-07-22 16:30,江苏宿迁市泗阳县,4.522秒,808
高匿,HTTPS,115.207.82.148,1分钟,0.286秒,17-07-22 16:22,浙江衢州,1.43秒,808
高匿,HTTPS,113.121.240.19,1分钟,0.035秒,17-07-22 16:22,山东德州,0.175秒,808
高匿,HTTP,110.73.4.22,187天,0.246秒,17-07-22 16:20,广西防城港,1.23秒,8123
高匿,HTTP,121.31.151.37,1分钟,0.311秒,17-07-22 16:16,广西北海,1.558秒,8123
高匿,HTTPS,121.31.157.198,15分钟,0.658秒,17-07-22 16:16,广西北海,3.291秒,8123
高匿,HTTPS,60.172.86.9,51分钟,1.377秒,17-07-22 16:13,安徽黄山,6.885秒,808
高匿,HTTPS,110.189.222.239,39分钟,0.686秒,17-07-22 16:12,四川,3.431秒,808
高匿,HTTPS,222.94.144.121,7天,1.28秒,17-07-22 16:11,江苏南京,6.403秒,808
高匿,HTTPS,122.241.202.110,1分钟,0.169秒,17-07-22 16:11,浙江丽水,0.845秒,808
高匿,HTTP,115.213.200.178,46天,0.816秒,17-07-22 16:11,浙江丽水,4.08秒,808
高匿,HTTPS,222.94.145.190,1分钟,0.071秒,17-07-22 16:11,江苏南京,0.355秒,808
高匿,HTTPS,183.153.30.37,1分钟,0.05秒,17-07-22 16:11,浙江台州,0.254秒,808
高匿,HTTP,60.21.132.218,642天,0.109秒,17-07-22 16:09,辽宁丹东,0.548秒,63000
高匿,HTTPS,183.165.16.238,40分钟,0.045秒,17-07-22 16:02,安徽宣城,0.229秒,808
高匿,HTTP,114.239.249.146,1分钟,0.727秒,17-07-22 16:00,江苏宿迁市泗阳县,3.636秒,808
高匿,HTTP,114.238.144.172,1分钟,0.865秒,17-07-22 16:00,江苏淮安,4.325秒,808
高匿,HTTPS,114.239.150.153,43天,0.119秒,17-07-22 15:55,江苏宿迁市泗阳县,0.595秒,808
高匿,HTTPS,119.5.35.203,1分钟,0.648秒,17-07-22 15:33,四川达州,3.243秒,808
高匿,HTTPS,111.78.74.29,1分钟,0.045秒,17-07-22 15:33,江西南昌,0.227秒,808
高匿,HTTP,221.7.175.135,470天,0.303秒,17-07-22 15:31,广西北海,1.515秒,8123
高匿,HTTPS,183.153.31.4,19分钟,0.172秒,17-07-22 15:30,浙江台州,0.863秒,808
高匿,HTTPS,117.63.233.114,1分钟,0.297秒,17-07-22 15:22,江苏常州,1.485秒,808
高匿,HTTPS,183.165.126.252,1分钟,0.045秒,17-07-22 15:22,安徽宣城,0.228秒,808
高匿,HTTPS,183.128.180.48,1分钟,0.317秒,17-07-22 15:22,浙江杭州,1.587秒,808
高匿,HTTPS,183.128.178.101,1分钟,0.973秒,17-07-22 15:22,浙江杭州,4.867秒,808
高匿,HTTP,171.39.29.77,7小时,0.743秒,17-07-22 15:15,广西百色,3.718秒,8123
高匿,HTTP,106.110.215.51,1分钟,1.471秒,17-07-22 15:15,广东,7.357秒,808
高匿,HTTP,112.193.70.22,1分钟,0.057秒,17-07-22 15:15,四川成都,0.286秒,808
高匿,HTTP,115.153.167.108,1分钟,0.442秒,17-07-22 15:15,江西宜春,2.214秒,808
高匿,HTTPS,121.62.159.82,1分钟,0.693秒,17-07-22 15:11,湖北黄冈,3.465秒,808
高匿,HTTPS,115.213.203.179,1分钟,0.076秒,17-07-22 15:11,浙江丽水,0.384秒,808
高匿,HTTPS,121.62.151.149,1分钟,1.293秒,17-07-22 15:11,湖北黄冈,6.469秒,808
高匿,HTTPS,115.215.71.159,99天,0.047秒,17-07-22 15:11,浙江宁波,0.237秒,808
高匿,HTTP,110.72.24.24,6小时,0.673秒,17-07-22 15:08,广西贵港,3.369秒,8123
高匿,HTTP,114.233.162.93,1分钟,0.642秒,17-07-22 15:00,江苏泰州,3.211秒,808
高匿,HTTPS,180.118.242.250,72天,0.156秒,17-07-22 15:00,江苏镇江,0.783秒,808
高匿,HTTPS,183.130.38.168,1分钟,0.488秒,17-07-22 15:00,浙江温州,2.444秒,80
高匿,HTTPS,115.46.74.149,1小时,0.889秒,17-07-22 14:53,广西南宁,4.446秒,8123
高匿,HTTPS,110.72.23.78,7小时,0.752秒,17-07-22 14:52,广西贵港,3.762秒,8123
